채용사이트명,채용사이트_공고id,직무_대분류,직무_소분류,경력사항,회사명,근무지역(회사주소),회사로고이미지,회사복지,공고제목,공고본문_타입,공고본문_raw,공고출처url,모집시작일,모집마감일,공고게시일
링커리어,226700,IT/인터넷,IT/인터넷 [SEP] 생산/제조 [SEP] 연구개발/설계 [SEP] 마케팅/광고/홍보 [SEP] 경영/사무 [SEP] 서비스 [SEP] 웹개발 [SEP] 응용프로그램개발 [SEP] ERP/시스템개발/설계 [SEP] 네트워크/서버/보안 [SEP] DBA/데이터베이스 [SEP] 콘텐츠/사이트운영 [SEP] 웹기획/PM/웹마케팅 [SEP] HTML/퍼블리싱/UI개발 [SEP] QA [SEP] 게임 [SEP] 생산관리/공정관리/품질관리 [SEP] 생산/제조/설비/조립 [SEP] 포장/가공 [SEP] 섬유/의류/패션 [SEP] 자동차/조선/기계 [SEP] 반도체/디스플레이 [SEP] 화학/에너지/환경 [SEP] 전기/전자/제어 [SEP] 기계설계/CAD/CAM [SEP] 통신기술/네트워크구축 [SEP] 바이오/제약/식품 [SEP] 마케팅/PR/분석 [SEP] 전시/컨벤션 [SEP] 기획/전략/경영 [SEP] 사무/총무/법무 [SEP] 인사/노무/교육 [SEP] 경리/회계/결산 [SEP] 재무/세무/IR [SEP] 사무보조/문서작성 [SEP] 요리/영양/제과제빵/바리스타 [SEP] 외식/식음료 [SEP] 여행/항공/숙박/레저 [SEP] 웨딩/행사/이벤트 [SEP] 뷰티/미용/애완 [SEP] AS/서비스/수리 [SEP] 시설/보안/경비/안전 [SEP] 주차/세차/주유 [SEP] 청소/가사/육아,EXPERIENCED [SEP] NEW,휴비스,서울 강남구 학동로 343 [SEP] 전북특별자치도 전주시 덕진구 팔복로 145,https://media-cdn.linkareer.com/activity_manager/logos/517161,{'is_remote_work': False},[휴비스] 2025년 상반기 신입/경력사원 채용 (2.25 ~ 3.9),hybrid,"[휴비스] 2025년 상반기 신입/경력사원 채용 (2.25 ~ 3.9)
[모집기간]
2월 25일 - 3월 9일 23시
[모집직무]
Utility 운전,
설비관리,
전략기획,
경영기획,
경영기획
[자격요건]
- 4년제 정규대학(원) 기졸업자
- 해외여행 결격 사유가 없는 자로 남성의 경우 병역필 또는 면제자
[전형절차]
서류 전형 - 면접 전형- 최종 합격",https://www.huvis.com/kor/recruit/AnnounceList.asp,20250224,20250309,20250225
링커리어,226697,IT/인터넷,서비스 [SEP] IT/인터넷 [SEP] 연구개발/설계 [SEP] 생산/제조 [SEP] 마케팅/광고/홍보 [SEP] 경영/사무 [SEP] 요리/영양/제과제빵/바리스타 [SEP] 외식/식음료 [SEP] 여행/항공/숙박/레저 [SEP] 웨딩/행사/이벤트 [SEP] 뷰티/미용/애완 [SEP] AS/서비스/수리 [SEP] 시설/보안/경비/안전 [SEP] 주차/세차/주유 [SEP] 청소/가사/육아 [SEP] 웹개발 [SEP] 응용프로그램개발 [SEP] ERP/시스템개발/설계 [SEP] 네트워크/서버/보안 [SEP] DBA/데이터베이스 [SEP] 콘텐츠/사이트운영 [SEP] 웹기획/PM/웹마케팅 [SEP] HTML/퍼블리싱/UI개발 [SEP] QA [SEP] 게임 [SEP] 자동차/조선/기계 [SEP] 반도체/디스플레이 [SEP] 화학/에너지/환경 [SEP] 전기/전자/제어 [SEP] 기계설계/CAD/CAM [SEP] 통신기술/네트워크구축 [SEP] 바이오/제약/식품 [SEP] 생산관리/공정관리/품질관리 [SEP] 생산/제조/설비/조립 [SEP] 포장/가공 [SEP] 섬유/의류/패션 [SEP] 마케팅/PR/분석 [SEP] 전시/컨벤션 [SEP] 기획/전략/경영 [SEP] 사무/총무/법무 [SEP] 인사/노무/교육 [SEP] 경리/회계/결산 [SEP] 재무/세무/IR [SEP] 사무보조/문서작성,NEW [SEP] EXPERIENCED,피에스케이,경기 화성시 석우동 2-12 [SEP] 경기 성남시 수정구 금토로 75,https://media-cdn.linkareer.com/activity_manager/logos/517153,{'is_remote_work': False},[피에스케이] 2025년 2월 수시모집 (~03/03 23시 55분),hybrid,"[피에스케이] 2025년 2월 수시모집 (~03/03 23시 55분)
[모집기간]
2월 25일 - 3월 3일
[모집직무]
시스템관리,
시스템관리,
시설관리,
RF COMPONENT 설계,
기구설계(Laser),
전장설계 (Laser),
SW,
SW,
IT Infra Management
[자격요건]
- 4년제 이상
- 학점 평점 3.5이상
- 외국인 지원 가능
[전형절차]
서류 전형 - 면접 전형 - 최종 합격",https://psk.recruiter.co.kr/career/jobs/46613,20250224,20250303,20250225
링커리어,226680,IT/인터넷,IT/인터넷 [SEP] 간호조무사 [SEP] 간호조무사 [SEP] 의료 [SEP] 웹개발 [SEP] 응용프로그램개발 [SEP] ERP/시스템개발/설계 [SEP] 네트워크/서버/보안 [SEP] DBA/데이터베이스 [SEP] 콘텐츠/사이트운영 [SEP] 웹기획/PM/웹마케팅 [SEP] HTML/퍼블리싱/UI개발 [SEP] QA [SEP] 게임,NEW,한국보훈복지의료공단,대전 대덕구 대청로82번길 147,https://media-cdn.linkareer.com/activity_manager/logos/517103,{'is_remote_work': False},"[한국보훈복지의료공단] [대전보훈병원] 정규직 직원채용(기술직-전산, 일반기능직-간호조무사) (~03/05 12시)",hybrid,"[한국보훈복지의료공단] [대전보훈병원] 정규직 직원채용(기술직-전산, 일반기능직-간호조무사) (~03/05 12시)
[모집기간]
2월 20일 - 3월 5일 12시
[모집직무]
전산
간호조무사
[자격요건]
- 공단 인사규정 제 18조에 해당하지 않는 자
- 공단 인사규정 제 44조에 따른 정년을 초과하지 않는 자
[전형절차]
서류 전형- 면접 전형 - 최종 합격",https://bohun.fairyhr.com/announcement/detail/161,20250219,20250305,20250225
링커리어,226676,IT/인터넷,"재무/세무/IR [SEP] 네트워크/서버/보안 [SEP] 경리/회계/결산 [SEP] 경영/사무 [SEP] IT/인터넷 [SEP] 회계 [SEP] 재무 [SEP] 세무 [SEP] IR [SEP] 회계감사 [SEP] 예산관리 [SEP] CIO [SEP] 네트워크관리 [SEP] 네트워크엔지니어 [SEP] 보안 엔지니어 [SEP] 보안컨설팅 [SEP] 서버 개발자 [SEP] 시스템, 네트워크 관리자 [SEP] 시스템•네트워크 컨설팅 [SEP] 시스템운영 [SEP] 시스템프로그래머 [SEP] 정보보안 [SEP] 경리 [SEP] 결산 [SEP] 급여관리/4대보험 [SEP] 전표입력 [SEP] 부가세신고 [SEP] ERP/더존",INTERN,카카오뱅크,경기 성남시 분당구 분당내곡로 131,https://media-cdn.linkareer.com/activity_manager/logos/517071,{'is_remote_work': False},[카카오뱅크] 백오피스 (Back Office) 담당자 (채용연계형 인턴) 채용,hybrid,"[카카오뱅크] 백오피스 (Back Office) 담당자 (채용연계형 인턴) 채용
[담당 업무]
· 원화 및 외화 자금의 결제, 회계처리, 평가 및 결산
· 원화 및 외화 자금 업무의 대내외 보고서 작성
· 외화 업무 관련 자금이체, 환대사, 정산 업무
· 백오피스 시스템 운영 및 관리 등
[필수 경험과 역량]
· 꼼꼼하고 정확한 업무 처리가 가능한 분
· 원활한 커뮤니케이션 역량과 책임감이 있는 분
· MS Office(엑셀, 파워포인트) 등을 능숙하게 활용할 수 있는 분
· 합격 후 3개월 Full Time 인턴 근무 가능한 분
- 이미 졸업한 상태인 분
- 졸업요건을 모두 갖추어 수료상태인 분
- 2025년 8월 졸업 예정자 중 이수해야 할 학점이 남아있지 않는 분
[접수 일정]
- 2025.2.25 ~ 2025.3.10",https://kakaobank.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=208546,20250225,20250310,20250225
링커리어,226670,IT/인터넷,"DBA/데이터베이스 [SEP] ERP/시스템개발/설계 [SEP] 응용프로그램개발 [SEP] 자동차/조선/기계 [SEP] IT/인터넷 [SEP] 연구개발/설계 [SEP] BI 엔지니어 [SEP] 데이터 엔지니어 [SEP] 파이썬 개발자 [SEP] CTO [SEP] DevOps / 시스템 관리자 [SEP] 시스템엔지니어(SE) [SEP] 임베디드 개발자 [SEP] 블록체인 플랫폼 엔지니어 [SEP] 하드웨어 엔지니어 [SEP] Android앱개발 [SEP] C,C++ 개발자 [SEP] iOS 개발자 [SEP] 소프트웨어 엔지니어 [SEP] 안드로이드 개발자 [SEP] 크로스플랫폼 앱 개발자 [SEP] 자동차 [SEP] 조선 [SEP] 기계",INTERN,에스엘,대구 북구 검단공단로 32 [SEP] 경기 화성시 향남읍 화리현리 65-7,https://media-cdn.linkareer.com/activity_manager/logos/517049,{'is_remote_work': False},[에스엘] 2025년 2월 (AI전문인력 및 신차개발 직무) 수시채용,hybrid,"[에스엘] 2025년 2월 (AI전문인력 및 신차개발 직무) 수시채용
​
[모집분야]
- 생산기술(AI)
- 개발
[공통 지원자격]
- 4년제 학사 이상 학위 소지자
- 남성의 경우 병역 의무를 마친 자 혹은 면제된 자
- 해외여행에 결격 사유가 없는 자
[채용전형]
- 접수 > 서류전형 > 온라인 전형 > 실무진 면접 > 인턴 전형 > 경영진 면접 > 합격",https://slworld.recruiter.co.kr/career/jobs/46655,20250226,20250309,20250225
링커리어,226650,IT/인터넷,IT/인터넷 [SEP] 웹개발 [SEP] 응용프로그램개발 [SEP] ERP/시스템개발/설계 [SEP] 네트워크/서버/보안 [SEP] DBA/데이터베이스 [SEP] 콘텐츠/사이트운영 [SEP] 웹기획/PM/웹마케팅 [SEP] HTML/퍼블리싱/UI개발 [SEP] QA [SEP] 게임,NEW [SEP] EXPERIENCED,노벨리스코리아,서울 중구 통일로 10,https://media-cdn.linkareer.com/activity_manager/logos/516952,{'is_remote_work': False},"[노벨리스코리아] [서울]Sr. Financial Analyst 채용 (~채용 시, 마감)",hybrid,"[노벨리스코리아] [서울]Sr. Financial Analyst 채용 (~채용 시, 마감)
[모집기간]
2월 25일 - 채용 시, 마감
[모집직무]
Financial Analyst
[자격요건]
Bachelor’s degree and above. Majori in business administration or Accounting is preferred
Good understanding of product costing in manufacturing business and operations
Relevant experience in manufacturing industry
Good communication skills with various stakeholders
English Proficiency in both verbal and written
Expertise in MS Excel
Power BI experience is a plus
[전형절차]
서류 전형- 면접 전형 - 최종 합격",https://ko-careers-novelis.icims.com/jobs/48156/%5b%ec%84%9c%ec%9a%b8%5dsr.-financial-analyst/job?mobile=false&width=980&height=500&bga=true&needsRedirect=false&jan1offset=540&jun1offset=540,20250224,20250526,20250225
링커리어,226647,IT/인터넷,서비스 [SEP] IT/인터넷 [SEP] 요리/영양/제과제빵/바리스타 [SEP] 외식/식음료 [SEP] 여행/항공/숙박/레저 [SEP] 웨딩/행사/이벤트 [SEP] 뷰티/미용/애완 [SEP] AS/서비스/수리 [SEP] 시설/보안/경비/안전 [SEP] 주차/세차/주유 [SEP] 청소/가사/육아 [SEP] 웹개발 [SEP] 응용프로그램개발 [SEP] ERP/시스템개발/설계 [SEP] 네트워크/서버/보안 [SEP] DBA/데이터베이스 [SEP] 콘텐츠/사이트운영 [SEP] 웹기획/PM/웹마케팅 [SEP] HTML/퍼블리싱/UI개발 [SEP] QA [SEP] 게임,NEW [SEP] EXPERIENCED,노벨리스코리아,서울 중구 통일로 10,https://media-cdn.linkareer.com/activity_manager/logos/516917,{'is_remote_work': False},"[노벨리스코리아] [서울]Assoc Customer Service Rep 채용 (채용 시, 마감)",hybrid,"[노벨리스코리아] [서울]Assoc Customer Service Rep 채용 (채용 시, 마감)
[모집기간]
2월 25일 - 채용 시, 마감
[모집직무]
Assoc Customer Service Rep
[자격요건]
- 학력: 대졸(4년) 이상
[전형절차]
서류 전형 - 면접 전형 - 최종 합격",https://ko-careers-novelis.icims.com/jobs/47830/%5b%ec%84%9c%ec%9a%b8%5dassoc-customer-service-rep/job,20250224,20250526,20250225
링커리어,226645,IT/인터넷,IT/인터넷 [SEP] 웹개발 [SEP] 응용프로그램개발 [SEP] ERP/시스템개발/설계 [SEP] 네트워크/서버/보안 [SEP] DBA/데이터베이스 [SEP] 콘텐츠/사이트운영 [SEP] 웹기획/PM/웹마케팅 [SEP] HTML/퍼블리싱/UI개발 [SEP] QA [SEP] 게임,NEW [SEP] EXPERIENCED,노벨리스코리아,서울 중구 통일로 10,https://media-cdn.linkareer.com/activity_manager/logos/516911,{'is_remote_work': False},"[노벨리스코리아] [SEOUL]Technical Service Rep-NA Beverage Packing 채용 (채용 시, 마감)",hybrid,"[노벨리스코리아] [S
​
EOUL]Technical Service Rep-NA Beverage Packing 채용 (채용 시, 마감)
[모집기간]
2월 25일 - 채용 시, 마감
[모집직무]
Technical Service Rep-NA Beverage Packing
[자격요건]
• 재료공학, 기계공학, 산업공학 등 공학 배경 학사 학위 이상
• 영어 능통자
• 수준급 MS Office (Excel, PPT) 활용 가능한 자
• 정기적인 국내/해외 출장이 가능한 자
[전형절차]
서류 전형 - 면접 전형 - 최종 합격",https://ko-careers-novelis.icims.com/jobs/48001/%5bseoul%5dtechnical-service-rep-na-beverage-packing/job,20250224,20250526,20250225
링커리어,226642,IT/인터넷,IT/인터넷 [SEP] 웹개발 [SEP] 응용프로그램개발 [SEP] ERP/시스템개발/설계 [SEP] 네트워크/서버/보안 [SEP] DBA/데이터베이스 [SEP] 콘텐츠/사이트운영 [SEP] 웹기획/PM/웹마케팅 [SEP] HTML/퍼블리싱/UI개발 [SEP] QA [SEP] 게임,NEW [SEP] EXPERIENCED,노벨리스코리아,울산 남구 부두로 393,https://media-cdn.linkareer.com/activity_manager/logos/516879,{'is_remote_work': False},"[노벨리스코리아] [울산] IT Ops Systems Analyst 채용 (채용 시, 마감)",hybrid,"[노벨리스코리아] [울산] IT Ops Systems Analyst 채용 (채용 시, 마감)
[모집기간]
2월 25일 - 채용 시. 마감
[모집직무]
IT Ops Systems Analyst
[자격요건]
1. Support global project
2. Operate Regional systems - Develop & maintain the regional applications to meet the customer business goal
3. Enhancement Regional system
•Improve the regional applications to meet the customer business goal
•Execution & leading Hot Mill, Supply Chain & GMS area for Asia MES integration project
•Execution & leading ABS, OES, GMS & DMS for Asia project
4. Better understanding business part useful IT application
[전형절차]
서류 전형 - 면접 전형 - 최종 합격",https://ko-careers-novelis.icims.com/jobs/47488/%5b%ec%9a%b8%ec%82%b0%5d-it-ops-systems-analyst/job,20250224,20250526,20250225
링커리어,226622,IT/인터넷,소프트웨어 엔지니어 [SEP] 응용프로그램개발 [SEP] IT/인터넷,NEW,(주)에코마케팅,서울 송파구 올림픽로35다길 42,https://media-cdn.linkareer.com/activity_manager/logos/516801,{'is_remote_work': False},[에코마케팅] 백엔드 개발자(Python) 신입/Restart/경력 채용,hybrid,"에코마케팅은,
끊임없는 혁신을 ​통해 ​새로운 ​시장을 창조해 ​냄으로써 고객사의 매출과 가치를 ​극대화하고
잠재력 ​있는 기업을 ​발굴하여 독보적인 마케팅 ​노하우로 4P ​전반을 ​책임지며, 대한민국 ​마케팅의 ​역사를 ​쓰고 있습니다.
업계 TOP ​클라이언트들의 ​성공을 넘어서 안다르, ​클럭, ​몽제 ​등의 자사 브랜드를 ​직접 마케팅으로 ​성공시켜 ​왔으며
공격적인 투자를 ​통해 비즈니스 ​부스팅 ​사업을 확장하고 글로벌 ​사업을 본격화하여 ​끊임없이 새로운 시장을 개척하고 있습니다. 어떤 기업이든 성공 궤도로 안착할 수 있도록 기업의 비즈니스를 부스팅 하며 안다르와 같은 성공 사례 100개를 더 만들고자 합니다.
백엔드 개발자(Python)는,
각 부서의 업무를 자동화 솔루션으로 혁신하여, 혁신에 집중하는 환경 속에서 더 높은 매출 달성을 목표로 합니다.
각 부서의 업무 프로세스를 면밀히 파악하고, 문제를 정의한 후 솔루션을 기획·개발합니다.
문제 해결을 위한 새로운 기술 도입을 두려워하지 않고 끊임없이 탐구하며, 다양한 직무 구성원들과 협력하여 최적의 해결책을 도출하는 데 주도적으로 임합니다.
☑️ 이런 도구를 사용하여 개발 및 소통 하고 있습니다.
Jira로 프로젝트 관리
Bitbucket으로 형상 관리
Confluence로 문서 관리
AWS Cloud 환경에서 개발
Jenkins, code deploy 를 통해 자동 배포
MS-Teams, Slack으로 의사소통
■ 이러한 분을 모시고 함께하고 싶습니다.
문제를 발견하고, 넓은 범위에서 정의하며 해결하는 것을 즐기시는 분
새로운 기술을 적극 탐구하고 동료들과 지식을 공유하는 것을 즐기시는 분
강한 책임감으로 시스템 안정성과 효율성을 극대화하는 데 가치를 두는 분
■ 주요 업무
Django 기반의 서비스 운영 및 고도화
Python을 활용한 자동화 업무
AI를 활용한 자동화 업무
■ 지원 자격
Python, Django,Fast api 프로젝트 경험 또는 이해가 있으신 분
Mysql, MyBatis, NoSQL(mongodb, dynamodb등) 개발 경험 또는 이해가 있으신 분
Restful API 설계 및 개발 경험 또는 이해가 있으신 분
쿠버네티스, Ecs등 도커 컨테이너 이해가 있으신 분
AWS(EC2, S3, RDS등) 리소스 사용 경험이 있으신 분
문제를 발견하고 해결해본 경험이 있으신 분
■ 이런한 분들을 우대 합니다.
ECS,EKS 기반의 백엔드 서비스 운영 및 구축, 장애 대응 경험이 있으신 분
하나 이상의 Programming Language에 익숙하신 분(Python, Java등)
마케팅 회사에서 개발 직무를 1~3년이내로 경험하신 분
마케팅 도메인에 대한 배경지식이 있으신 분
자동화 업무를 진행해보신 분
협업 과정에서 적극적인 커뮤니케이션으로 문제 도출 및 해결 경험이 있으신 분
■ 전형 구분
신입사원 : 국내외 4년제 대학 졸업(예정)자
Restart : 직종, 직무 무관 경력 1년 이상
주니어 경력 : 유관 경력 1년 이상 2년 미만
■
급여 사항
신입사원 : 초봉 4,500만 원
경력 : 이전 경력에 따라 처우 협의 진행
■ 근무 조건
입사 예정일 : 3월 3주차 ~ 4주차
(*입사 예정일은 상황에 따라 변동될 수 있습니다.)
정규직(수습기간 최대 3개월)
근무지 : 대한민국 서울특별시 송파구 올림픽로35다길 42, 에코마케팅
업무 시간 : 주 5일, 10:00 ~ 19:00
함께하게 될 팀은,
마케터들이 본연의 전략적 고민에 집중할 수 있도록 최적의 환경을 제공하며, 비즈니스 성장을 저해하는 문제들을 효과적으로 해결하는 팀 입니다.
다양한 기술을 사용하고, 문제를 다각도로 바라보며 실력을 향상 시킬 수 있는 팀 입니다.
사내 다양한 여러 직무를 가진 구성원들과 협업을 하는 팀입니다.
문제를 찾고 해결해내는 데에 진심인 동료들이 있는 팀 입니다.
리더의 한 마디
💌
""우리 팀은 사내에서 발생하는 다양한 니즈와 문제를 기술적으로 해결하며, IT 서비스가 더욱 안정적이고 효율적으로 운영될 수 있도록 끊임없이 개선해 나가고 있습니다.
에코마케팅은 매년 빠르게 성장하고 있으며, 이에 따라 IT 서비스의 규모도 함께 확장되고 있습니다. 우리는 이러한 변화 속에서 최적의 인프라를 설계하고 운영하며, 다양한 최신 기술을 접하고 활용하는 기회를 제공합니다. 이 과정에서 쌓이는 경험은 개인과 팀의 성장을 이끄는 중요한 자산이 될 것입니다.
새로운 기술을 탐구하고, 동료들과 지식을 나누며, 책임감 있게 시스템의 안정성과 효율성을 극대화하는 일에 가치를 두는 분이라면, 지금 바로 지원해주세요! ""
채용 프로세스는,
서류 전형 → 1차 실무진 면접 → 2차 임원 면접 → 최종 합격
지원 서류 : 이력서(필수), 경력기술서(선택), 포트폴리오(선택)
1차 실무진 면접 전형 시 면접 당일에 '코딩 테스트'가 별도 진행됩니다.
신입/Restart/경력
전형 모두 동일한 프로세스로 진행됩니다.
전형별 합격자에 한하여 다음 전형일정을 개별 통보합니다.
합격 여부와 관계 없이 모든 지원자에게 서류 및 면접 전형 결과에 대한 안내 메일을 드립니다.
적합한 지원자 발생 시 서류 접수 기간 중 면접이 진행될 수 있습니다.
입사 지원서 최종 제출 후, 수정이 불가하오니 신중하게 검토하신 후 제출해 주시기 바랍니다.
기타 문의 사항
전형 진행 과정에서 더 적합하다고 판단되는 모집 분야로 변경될 수 있습니다.
입사지원서의 내용이 사실과 다를 경우 합격이 취소되거나 전형상의 불이익을 받을 수 있습니다.
전형 진행 과정에서 별도의 교통비, 면접비, 실기테스트 비용은 지급되지 않습니다.
장애인 및 보훈대상자는 관계 법령에 따라 우대합니다.
채용관련 문의사항은 에코마케팅 커리어 사이트 FAQ (
https://echomarketing.career.greetinghr.com/
)
를 참고해주시기 바랍니다.
FAQ외의 문의는 recruit@echomarketing.co.kr로 문의주시면 검토 후 답변드리겠습니다.",https://echomarketing.career.greetinghr.com/o/147790,20250225,20250306,20250225
